x y z densidad ley_mineral volumen
-1.0 -1.0 -1.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 -1.0 2.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 -1.0 5.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 -1.0 8.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 -1.0 11.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 2.0 -1.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 2.0 2.0 2.6872700594236814 0.7339917805043039 1020.5844942958025
-1.0 2.0 5.0 2.6872700594236814 0.7339917805043039 1020.5844942958025
-1.0 2.0 8.0 2.6872700594236814 0.7339917805043039 1020.5844942958025
-1.0 2.0 11.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 5.0 -1.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 5.0 2.0 2.6872700594236814 0.7339917805043039 1020.5844942958025
-1.0 5.0 5.0 2.6872700594236814 0.7339917805043039 1020.5844942958025
-1.0 5.0 8.0 2.6872700594236814 0.7339917805043039 1020.5844942958025
-1.0 5.0 11.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 8.0 -1.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 8.0 2.0 2.6872700594236814 0.7339917805043039 1020.5844942958025
-1.0 8.0 5.0 2.6872700594236814 0.7339917805043039 1020.5844942958025
-1.0 8.0 8.0 2.6872700594236814 0.7339917805043039 1020.5844942958025
-1.0 8.0 11.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 11.0 -1.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 11.0 2.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 11.0 5.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 11.0 8.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
-1.0 11.0 11.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
2.0 -1.0 -1.0 2.6872700594236814 0.7339917805043039 1020.5844942958024
2.0 -1.0 2.0 2.6872700594236814 0.7339917805043039 1020.5844942958025
